id,timestamp,temperature,vibration,accel_x_g,accel_y_g,accel_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,fan_state,collection_id,timestamp_iso
297,1769901685.5,28.2947,26.3893,0.218506,0.0290527,-1.06909,0.274809,-0.229008,25.8855,LOW,v5_stream,2026-01-31T23:21:25.500000Z
298,1769901685.7,28.2947,25.4656,0.322266,-0.179443,-1.09033,-2.20611,2.66412,20.5954,LOW,v5_stream,2026-01-31T23:21:25.700000Z
295,1769901685.8293,28.2006,27.3359,0.260254,0.0561523,-1.08447,-0.526718,0.0,26.8092,LOW,v5_stream,2026-01-31T23:21:25.829299Z
301,1769901686.5809,28.2476,9.93893,0.403809,-0.118652,-1.073,-2.69466,0.312977,6.9313,LOW,v5_stream,2026-01-31T23:21:26.580899Z
299,1769901686.9,28.2476,12.3817,0.334717,-0.0383301,-1.07446,-2.84733,-0.923664,8.61069,LOW,v5_stream,2026-01-31T23:21:26.900000Z
300,1769901687.1,28.3888,25.6489,0.24585,0.0078125,-1.07031,-0.282443,1.03817,24.3282,LOW,v5_stream,2026-01-31T23:21:27.099999Z
302,1769901687.7809,28.3418,18.6489,0.24292,-0.00976562,-1.08887,-1.07634,-0.725191,16.8473,LOW,v5_stream,2026-01-31T23:21:27.780900Z
303,1769901687.9809,28.2476,26.7786,0.300049,-0.261963,-1.05908,-1.24427,4.38168,21.1527,LOW,v5_stream,2026-01-31T23:21:27.980900Z
304,1769901688.1809,28.2006,7.20611,0.414307,-0.123779,-1.04761,-2.28244,-0.152672,4.77099,LOW,v5_stream,2026-01-31T23:21:28.180900Z
305,1769901688.3809,28.3888,16.2366,0.229248,-0.0559082,-1.08667,-0.381679,-1.30534,14.5496,LOW,v5_stream,2026-01-31T23:21:28.380899Z
306,1769901688.8206,28.2476,12.9389,0.239502,-0.0869141,-1.09741,-0.916031,-3.31298,8.70992,LOW,v5_stream,2026-01-31T23:21:28.820600Z
307,1769901689.0206,28.3418,18.5496,0.20874,-0.156738,-1.0979,-0.641221,3.15267,14.7557,LOW,v5_stream,2026-01-31T23:21:29.020600Z
311,1769901689.0981,28.2476,6.77863,0.340576,-0.0668945,-1.0791,-0.854962,-3.24427,-2.67939,LOW,v5_stream,2026-01-31T23:21:29.098099Z
308,1769901689.2206,28.2006,4.58779,0.389404,-0.206787,-1.06421,-2.0229,-1.0458,-1.51908,LOW,v5_stream,2026-01-31T23:21:29.220599Z
312,1769901689.2981,28.2476,6.87786,0.134521,-0.212158,-1.10864,-0.0763359,1.60305,5.19847,LOW,v5_stream,2026-01-31T23:21:29.298099Z
309,1769901689.4206,28.3888,6.67939,0.206055,-0.0839844,-1.11377,-0.541985,-3.08397,3.05344,LOW,v5_stream,2026-01-31T23:21:29.420599Z
313,1769901689.4981,28.2476,13.4504,0.313965,-0.231934,-1.08472,-1.14504,2.42748,-9.87786,LOW,v5_stream,2026-01-31T23:21:29.498100Z
310,1769901689.6206,28.2947,11.2443,0.182129,-0.186035,-1.08594,-0.961832,4.20611,6.07634,LOW,v5_stream,2026-01-31T23:21:29.620599Z
314,1769901689.6981,28.1535,18.1145,0.331787,-0.0195312,-1.05322,0.137405,-1.65649,-16.3206,LOW,v5_stream,2026-01-31T23:21:29.698100Z
316,1769901690.3732,28.2947,29.4504,0.35791,-0.098877,-1.06934,-1.03053,-2.0229,-26.3969,LOW,v5_stream,2026-01-31T23:21:30.373199Z
317,1769901690.5732,28.2947,14.626,0.217285,-0.046875,-1.06689,2.20611,0.328244,-12.0916,LOW,v5_stream,2026-01-31T23:21:30.573199Z
315,1769901690.8981,28.2947,15.1756,0.231934,-0.234375,-1.06616,1.94656,1.41221,-11.8168,LOW,v5_stream,2026-01-31T23:21:30.898099Z
321,1769901691.6333,28.3888,21.2443,0.379395,-0.0756836,-1.10693,-1.72519,0.748092,-18.771,LOW,v5_stream,2026-01-31T23:21:31.633300Z
318,1769901691.7732,28.2947,18.9542,0.341064,-0.189697,-1.09644,-0.236641,3.93893,-14.7786,LOW,v5_stream,2026-01-31T23:21:31.773200Z
319,1769901691.9732,28.3418,27.9008,0.411133,-0.0651855,-1.06201,-0.977099,-0.694656,-26.229,LOW,v5_stream,2026-01-31T23:21:31.973200Z
320,1769901692.1732,28.2006,19.9466,0.264404,0.0415039,-1.09473,1.69466,-1.91603,-16.3359,LOW,v5_stream,2026-01-31T23:21:32.173199Z
322,1769901692.8333,28.3418,24.2901,0.31958,0.0957031,-1.06958,0.503817,-1.73282,-22.0534,LOW,v5_stream,2026-01-31T23:21:32.833300Z
323,1769901693.0333,28.3418,10.1756,0.234131,-0.0463867,-1.09619,0.320611,-0.10687,-9.74809,LOW,v5_stream,2026-01-31T23:21:33.033299Z
324,1769901693.2333,28.2947,16.8168,0.327881,-0.00561523,-1.11499,-1.85496,1.41985,-13.542,LOW,v5_stream,2026-01-31T23:21:33.233299Z
325,1769901693.4333,28.3418,24.4122,0.400879,0.0673828,-1.05713,-0.801527,1.12214,-22.4886,LOW,v5_stream,2026-01-31T23:21:33.433300Z
326,1769901693.9233,28.2476,2.17557,0.219482,-0.00439453,-1.10571,-0.129771,-0.557252,-1.48855,LOW,v5_stream,2026-01-31T23:21:33.923300Z
327,1769901694.1233,28.2947,15.5573,0.329102,0.0358887,-1.05957,-1.16794,1.9084,-12.4809,LOW,v5_stream,2026-01-31T23:21:34.123300Z
331,1769901694.2015,28.2947,5.05344,0.186035,0.100342,-1.1394,-0.954198,1.1374,2.96183,LOW,v5_stream,2026-01-31T23:21:34.201499Z
328,1769901694.3233,28.2476,20.8626,0.330811,0.107178,-1.07275,-0.755725,-1.87023,-18.2366,LOW,v5_stream,2026-01-31T23:21:34.323299Z
332,1769901694.4015,28.2947,13.8321,0.350342,0.0649414,-1.10889,-1.98473,1.38168,-10.4656,LOW,v5_stream,2026-01-31T23:21:34.401499Z
329,1769901694.5233,28.2476,3.29008,0.205566,0.134277,-1.09326,-0.122137,-0.984733,-2.18321,LOW,v5_stream,2026-01-31T23:21:34.523299Z
333,1769901694.6015,28.3418,11.9771,0.27124,0.162354,-1.07349,-0.587786,-2.00763,-9.38168,LOW,v5_stream,2026-01-31T23:21:34.601500Z
330,1769901694.7233,28.2947,13.3817,0.300049,0.0803223,-1.08057,-1.29771,3.87023,-8.21374,LOW,v5_stream,2026-01-31T23:21:34.723299Z
336,1769901695.5868,28.2947,6.71756,0.335938,0.210449,-1.0686,-0.89313,-3.40458,-2.41985,LOW,v5_stream,2026-01-31T23:21:35.586800Z
334,1769901695.8015,28.2947,4.80153,0.17334,0.0820312,-1.09399,-0.274809,0.687023,3.83969,LOW,v5_stream,2026-01-31T23:21:35.801500Z
335,1769901696.0015,28.2476,6.01527,0.330078,0.125,-1.07495,-1.38931,3.87786,-0.748092,LOW,v5_stream,2026-01-31T23:21:36.001499Z
337,1769901696.7868,28.2947,6.49618,0.169434,0.142334,-1.09326,0.450382,0.557252,5.48855,LOW,v5_stream,2026-01-31T23:21:36.786799Z
338,1769901696.9868,28.3418,8.06107,0.339355,0.0336914,-1.12915,-2.64122,2.75573,2.66412,LOW,v5_stream,2026-01-31T23:21:36.986799Z
339,1769901697.1868,28.2947,4.71756,0.361328,0.199951,-1.05371,-0.687023,-1.28244,-2.74809,LOW,v5_stream,2026-01-31T23:21:37.186800Z
340,1769901697.3868,28.3418,14.8702,0.192139,0.165283,-1.07861,0.977099,1.05344,12.8397,LOW,v5_stream,2026-01-31T23:21:37.386800Z
